Tournament_Members,Player1,Player2,Player3,Avg_Norm_Score,Avg_Norm_Cooperation_Rate,Avg_Good_Partner_Rate,Avg_Eigenmoses_Rate,Avg_Eigenjesus_Rate,Avg_Norm_CC_Distribution
"Cooperator Def,Cycler DC,Thirteen Defect",Cooperator Def,Cycler DC,Thirteen Defect,2.5833333333333335,0.7232804232804233,0.6666666666666666,0.4637461395782712,0.5613644624937457,0.625
"Cooperator Def,Cycler DC,Tit For Tat",Cooperator Def,Cycler DC,Tit For Tat,2.5833333333333335,0.6825396825396824,0.8333333333333334,0.4611379688910508,0.5648669497677922,0.4166666666666667
"Cooperator Def,Cycler DC,Two Coop",Cooperator Def,Cycler DC,Two Coop,2.5208333333333335,0.5353174603174602,0.6666666666666666,0.11161361138391575,0.5571417975769777,0.2916666666666667
"Cooperator Def,Cycler DC,Two Defect",Cooperator Def,Cycler DC,Two Defect,2.4166666666666665,0.5066137566137566,0.5,0.10137346304281396,0.5469574087072685,0.2916666666666667
"Cooperator Def,Cycler DC,Win-Shift Lose-Stay",Cooperator Def,Cycler DC,Win-Shift Lose-Stay,2.375,0.5158730158730158,0.6666666666666666,0.10137346304281396,0.5501585365486723,0.375
"Cooperator Def,Cycler DC,Win-Shift Lose-Stay Coop",Cooperator Def,Cycler DC,Win-Shift Lose-Stay Coop,2.4583333333333335,0.5492063492063491,0.6666666666666666,0.13234566121954106,0.5614620112722054,0.4166666666666667
"Cooperator Def,Cycler DC,Win-Stay Lose-Shift",Cooperator Def,Cycler DC,Win-Stay Lose-Shift,2.375,0.5992063492063492,0.6666666666666666,0.4094368460445161,0.564099091694883,0.25
"Cooperator Def,Cycler DC,Win-Stay Lose-Shift Defect",Cooperator Def,Cycler DC,Win-Stay Lose-Shift Defect,2.4583333333333335,0.6769841269841269,0.8333333333333334,0.46374299959657134,0.5656729345315451,0.5416666666666666
"Cooperator Def,Defector,Defector",Cooperator Def,Defector,Defector,1.8125,0.2546296296296296,0.6666666666666666,0.23691410519784448,0.3333333333333333,0.0
"Cooperator Def,Defector,Fourteen Coop",Cooperator Def,Defector,Fourteen Coop,2.5208333333333335,0.5879629629629629,0.5,0.14689202131091542,0.467965501528213,0.2916666666666667
"Cooperator Def,Defector,Fourteen Defect",Cooperator Def,Defector,Fourteen Defect,1.9375,0.33796296296296297,0.6666666666666666,0.2963029422377323,0.4589811642592159,0.25
"Cooperator Def,Defector,Seven Coop",Cooperator Def,Defector,Seven Coop,2.4583333333333335,0.4907407407407407,0.5,0.14153975848040565,0.4668895110015739,0.16666666666666666
"Cooperator Def,Defector,Seven Defect",Cooperator Def,Defector,Seven Defect,2.354166666666667,0.46759259259259256,0.5,0.3633803920980148,0.46224726764121504,0.16666666666666666
"Cooperator Def,Defector,Stubborn Coop",Cooperator Def,Defector,Stubborn Coop,1.9166666666666667,0.3888888888888889,0.5,0.2074343492947647,0.45838859894992456,0.0
"Cooperator Def,Defector,Stubborn Def",Cooperator Def,Defector,Stubborn Def,1.8125,0.2546296296296296,0.6666666666666666,0.23691410519784448,0.3333333333333333,0.0
"Cooperator Def,Defector,Suspicious Tit For Tat",Cooperator Def,Defector,Suspicious Tit For Tat,1.9375,0.33796296296296297,0.6666666666666666,0.2963029422377323,0.4589811642592159,0.25
"Cooperator Def,Defector,Sucker Coop",Cooperator Def,Defector,Sucker Coop,2.3958333333333335,0.399074074074074,0.5,-0.01874616695375873,0.41250640901108016,0.041666666666666664
"Cooperator Def,Defector,Sucker Defect",Cooperator Def,Defector,Sucker Defect,1.8125,0.2546296296296296,0.6666666666666666,0.23691410519784448,0.3333333333333333,0.0
"Cooperator Def,Defector,Thirteen Coop",Cooperator Def,Defector,Thirteen Coop,2.5208333333333335,0.5879629629629629,0.5,0.14689202131091542,0.467965501528213,0.2916666666666667
"Cooperator Def,Defector,Thirteen Defect",Cooperator Def,Defector,Thirteen Defect,2.416666666666667,0.5592592592592592,0.6666666666666666,0.11637834856452799,0.4698864580347508,0.2916666666666667
"Cooperator Def,Defector,Tit For Tat",Cooperator Def,Defector,Tit For Tat,2.0416666666666665,0.4722222222222222,0.6666666666666666,0.24270311400846623,0.46931820075386493,0.25
"Cooperator Def,Defector,Two Coop",Cooperator Def,Defector,Two Coop,1.9791666666666667,0.32499999999999996,0.5,0.2748116918843039,0.4449758611238785,0.125
"Cooperator Def,Defector,Two Defect",Cooperator Def,Defector,Two Defect,1.875,0.2962962962962963,0.6666666666666666,0.2789682602584131,0.42942088649488674,0.125
"Cooperator Def,Defector,Win-Shift Lose-Stay",Cooperator Def,Defector,Win-Shift Lose-Stay,1.875,0.2962962962962963,0.6666666666666666,0.2789682602584131,0.42942088649488674,0.125
"Cooperator Def,Defector,Win-Shift Lose-Stay Coop",Cooperator Def,Defector,Win-Shift Lose-Stay Coop,2.4583333333333335,0.4407407407407407,0.5,-0.3467430875377451,0.4540044775637311,0.16666666666666666
"Cooperator Def,Defector,Win-Stay Lose-Shift",Cooperator Def,Defector,Win-Stay Lose-Shift,2.125,0.4351851851851852,0.5,-0.160134209188589,0.4585107646485261,0.0
"Cooperator Def,Defector,Win-Stay Lose-Shift Defect",Cooperator Def,Defector,Win-Stay Lose-Shift Defect,2.2083333333333335,0.512962962962963,0.6666666666666666,0.21157033924670396,0.4698869023951208,0.2916666666666667
"Cooperator Def,Fourteen Coop,Fourteen Coop",Cooperator Def,Fourteen Coop,Fourteen Coop,2.9375,0.9212962962962963,0.6666666666666666,0.5611086417483911,0.5734791211031167,0.875
"Cooperator Def,Fourteen Coop,Fourteen Defect",Cooperator Def,Fourteen Coop,Fourteen Defect,2.8402777777777772,0.7731481481481481,0.5,0.5306806635523381,0.5665183747257865,0.8055555555555555
"Cooperator Def,Fourteen Coop,Seven Coop",Cooperator Def,Fourteen Coop,Seven Coop,2.7916666666666665,0.7685185185185185,0.5,0.46407530362135097,0.5607116494306482,0.5833333333333334
"Cooperator Def,Fourteen Coop,Seven Defect",Cooperator Def,Fourteen Coop,Seven Defect,2.7291666666666665,0.7546296296296295,0.5,0.4405341621459676,0.5570863378889644,0.5833333333333334
"Cooperator Def,Fourteen Coop,Stubborn Coop",Cooperator Def,Fourteen Coop,Stubborn Coop,2.7916666666666665,0.824074074074074,0.6666666666666666,0.5512426161024816,0.5714515641529178,0.5833333333333334
"Cooperator Def,Fourteen Coop,Stubborn Def",Cooperator Def,Fourteen Coop,Stubborn Def,2.5625,0.5879629629629629,0.5,0.035482648234171466,0.46504188316568734,0.25
